invoices	POST	/invoices/schedule/{scheduleId}/schedule	schedule-invoice-schedule	Schedule an schedule invoice	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	POST	/invoices/schedule/{scheduleId}/auto-payment	auto-payment-invoice-schedule	Manage Auto payment for an schedule invoice	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	POST	/invoices/schedule/{scheduleId}/cancel	cancel-invoice-schedule	Cancel an scheduled invoice	[{"Location-Access":["invoices/schedule.write"]},{"Agency-Access":["invoices/schedule.write"]}]
invoices	POST	/invoices/text2pay	text2pay-invoice	Create & Send	[{"Location-Access":["invoices.write"]}]
invoices	GET	/invoices/generate-invoice-number	generate-invoice-number	Generate Invoice Number	[{"Location-Access":["invoices.readonly"]},{"Agency-Access":["invoices.readonly"]}]
invoices	GET	/invoices/{invoiceId}	get-invoice	Get invoice	[{"Location-Access":["invoices.readonly"]},{"Agency-Access":["invoices.readonly"]}]
invoices	PUT	/invoices/{invoiceId}	update-invoice	Update invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	DELETE	/invoices/{invoiceId}	delete-invoice	Delete invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	PATCH	/invoices/{invoiceId}/late-fees-configuration	update-invoice-late-fees-configuration	Update invoice late fees configuration	[{"Location-Access":[]},{"Agency-Access":[]}]
invoices	POST	/invoices/{invoiceId}/void	void-invoice	Void invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	POST	/invoices/{invoiceId}/send	send-invoice	Send invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	POST	/invoices/{invoiceId}/record-payment	record-invoice	Record a manual payment for an invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	PATCH	/invoices/stats/last-visited-at	update-invoice-last-visited-at	Update invoice last visited at	[{"Location-Access":[]},{"Agency-Access":[]}]
invoices	POST	/invoices/estimate	create-new-estimate	Create New Estimate	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	PUT	/invoices/estimate/{estimateId}	update-estimate	Update Estimate	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	DELETE	/invoices/estimate/{estimateId}	delete-estimate	Delete Estimate	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	GET	/invoices/estimate/number/generate	generate-estimate-number	Generate Estimate Number	[{"Location-Access":["invoices/estimate.readonly"]},{"Agency-Access":["invoices/estimate.readonly"]}]
invoices	POST	/invoices/estimate/{estimateId}/send	send-estimate	Send Estimate	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	POST	/invoices/estimate/{estimateId}/invoice	create-invoice-from-estimate	Create Invoice from Estimate	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	GET	/invoices/estimate/list	list-estimates	List Estimates	[{"Location-Access":["invoices/estimate.readonly"]},{"Agency-Access":["invoices/estimate.readonly"]}]
invoices	PATCH	/invoices/estimate/stats/last-visited-at	update-estimate-last-visited-at	Update estimate last visited at	[{"Location-Access":[]},{"Agency-Access":[]}]
invoices	GET	/invoices/estimate/template	list-estimate-templates	List Estimate Templates	[{"Location-Access":["invoices/estimate.readonly"]},{"Agency-Access":["invoices/estimate.readonly"]}]
invoices	POST	/invoices/estimate/template	create-estimate-template	Create Estimate Template	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	PUT	/invoices/estimate/template/{templateId}	update-estimate-template	Update Estimate Template	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
